Date : 2023-03-06 16:35:47
Directory : /home/lewis/winterwell/my-loop
Total : 557 files,  51864 codes, 11483 comments, 6438 blanks, all 69785 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/lewis/winterwell/my-loop/src/js/base/plumbing/Messaging.js                                   | JavaScript         |         71 |         35 |         11 |        117 |
| /home/lewis/winterwell/my-loop/src/js/base/plumbing/ServerIOBase.js                                | JavaScript         |        356 |        175 |         42 |        573 |
| /home/lewis/winterwell/my-loop/src/js/base/plumbing/glrouter.jsx                                   | JavaScript React   |         65 |         34 |         14 |        113 |
| /home/lewis/winterwell/my-loop/src/js/base/plumbing/log.js                                         | JavaScript         |         74 |         51 |         27 |        152 |
| /home/lewis/winterwell/my-loop/src/js/base/plumbing/media.js                                       | JavaScript         |          6 |         21 |         10 |         37 |
| /home/lewis/winterwell/my-loop/src/js/base/promise-value.js                                        | JavaScript         |        109 |         88 |         12 |        209 |
| /home/lewis/winterwell/my-loop/src/js/base/searchquery.js                                          | JavaScript         |        160 |        124 |         32 |        316 |
| /home/lewis/winterwell/my-loop/src/js/base/style/BG.less                                           | Less               |          8 |          0 |          2 |         10 |
| /home/lewis/winterwell/my-loop/src/js/base/style/BSCarousel.less                                   | Less               |         12 |          7 |          1 |         20 |
| /home/lewis/winterwell/my-loop/src/js/base/style/DemoPlayer.less                                   | Less               |        225 |         12 |         39 |        276 |
| /home/lewis/winterwell/my-loop/src/js/base/style/Editor3ColLayout.less                             | Less               |         39 |          5 |          8 |         52 |
| /home/lewis/winterwell/my-loop/src/js/base/style/Icon.less                                         | Less               |         40 |          7 |          5 |         52 |
| /home/lewis/winterwell/my-loop/src/js/base/style/ListLoad.less                                     | Less               |         42 |          2 |          6 |         50 |
| /home/lewis/winterwell/my-loop/src/js/base/style/LoginWidget.less                                  | Less               |         31 |         16 |          9 |         56 |
| /home/lewis/winterwell/my-loop/src/js/base/style/MDText.less                                       | Less               |          3 |          1 |          2 |          6 |
| /home/lewis/winterwell/my-loop/src/js/base/style/MessageBar.less                                   | Less               |         19 |          2 |          3 |         24 |
| /home/lewis/winterwell/my-loop/src/js/base/style/Misc.less                                         | Less               |         52 |          5 |          7 |         64 |
| /home/lewis/winterwell/my-loop/src/js/base/style/PropControl.less                                  | Less               |        267 |         37 |         56 |        360 |
| /home/lewis/winterwell/my-loop/src/js/base/style/PropControls/PropControlCode.less                 | Less               |         35 |         12 |          6 |         53 |
| /home/lewis/winterwell/my-loop/src/js/base/style/PropControls/PropControlList.less                 | Less               |         15 |          4 |          3 |         22 |
| /home/lewis/winterwell/my-loop/src/js/base/style/SimpleTable.less                                  | Less               |         70 |          7 |          8 |         85 |
| /home/lewis/winterwell/my-loop/src/js/base/style/Ticker.less                                       | Less               |          7 |          0 |          2 |          9 |
| /home/lewis/winterwell/my-loop/src/js/base/style/WizardProgressWidget.less                         | Less               |         79 |         11 |         17 |        107 |
| /home/lewis/winterwell/my-loop/src/js/base/style/animation.less                                    | Less               |         25 |          4 |          5 |         34 |
| /home/lewis/winterwell/my-loop/src/js/base/style/bootstrap-copy.less                               | Less               |          3 |          4 |          2 |          9 |
| /home/lewis/winterwell/my-loop/src/js/base/style/breakpoints.less                                  | Less               |         13 |         29 |         12 |         54 |
| /home/lewis/winterwell/my-loop/src/js/base/style/buttons.less                                      | Less               |         27 |          4 |          6 |         37 |
| /home/lewis/winterwell/my-loop/src/js/base/style/colours.less                                      | Less               |        238 |         64 |         47 |        349 |
| /home/lewis/winterwell/my-loop/src/js/base/style/flex.less                                         | Less               |         53 |         14 |         20 |         87 |
| /home/lewis/winterwell/my-loop/src/js/base/style/fonts.less                                        | Less               |         53 |         46 |         12 |        111 |
| /home/lewis/winterwell/my-loop/src/js/base/style/footer.less                                       | Less               |         13 |          1 |          5 |         19 |
| /home/lewis/winterwell/my-loop/src/js/base/style/good-loop.less                                    | Less               |         33 |          6 |          6 |         45 |
| /home/lewis/winterwell/my-loop/src/js/base/style/gridbox.less                                      | Less               |         30 |         11 |          5 |         46 |
| /home/lewis/winterwell/my-loop/src/js/base/style/main-base.less                                    | Less               |        150 |         26 |         21 |        197 |
| /home/lewis/winterwell/my-loop/src/js/base/style/png-download.less                                 | Less               |          8 |          2 |          0 |         10 |
| /home/lewis/winterwell/my-loop/src/js/base/style/print-base.less                                   | Less               |         13 |          2 |          2 |         17 |
| /home/lewis/winterwell/my-loop/src/js/base/style/prism-dark.less                                   | Less               |        218 |          0 |          1 |        219 |
| /home/lewis/winterwell/my-loop/src/js/base/utils/DetectAdBlock.js                                  | JavaScript         |         33 |         18 |         12 |         63 |
| /home/lewis/winterwell/my-loop/src/js/base/utils/SortFn.js                                         | JavaScript         |         14 |         11 |          3 |         28 |
| /home/lewis/winterwell/my-loop/src/js/base/utils/assert.js                                         | JavaScript         |        194 |         88 |         15 |        297 |
| /home/lewis/winterwell/my-loop/src/js/base/utils/deepCopy.js                                       | JavaScript         |          6 |          4 |          3 |         13 |
| /home/lewis/winterwell/my-loop/src/js/base/utils/miscutils.ts                                      | TypeScript         |        525 |        299 |         83 |        907 |
| /home/lewis/winterwell/my-loop/src/js/base/utils/printer.js                                        | JavaScript         |        175 |         90 |         44 |        309 |
| /home/lewis/winterwell/my-loop/src/js/base/youagain.js                                             | JavaScript         |        514 |        263 |         68 |        845 |
| /home/lewis/winterwell/my-loop/src/js/card.jsx                                                     | JavaScript React   |         24 |          4 |          9 |         37 |
| /home/lewis/winterwell/my-loop/src/js/components/AB.jsx                                            | JavaScript React   |         29 |         23 |          7 |         59 |
| /home/lewis/winterwell/my-loop/src/js/components/BackgroundFader.tsx                               | TypeScript React   |         39 |          9 |          8 |         56 |
| /home/lewis/winterwell/my-loop/src/js/components/BannerAd.jsx                                      | JavaScript React   |         25 |          9 |          6 |         40 |
| /home/lewis/winterwell/my-loop/src/js/components/CharityLogo.jsx                                   | JavaScript React   |         30 |         10 |          4 |         44 |
| /home/lewis/winterwell/my-loop/src/js/components/CharitySection.jsx                                | JavaScript React   |         62 |          6 |          1 |         69 |
| /home/lewis/winterwell/my-loop/src/js/components/ConsentWidget.jsx                                 | JavaScript React   |         87 |         41 |         16 |        144 |
| /home/lewis/winterwell/my-loop/src/js/components/DateRangeWidget.js                                | JavaScript         |        212 |         36 |         41 |        289 |
| /home/lewis/winterwell/my-loop/src/js/components/ExampleTSXComponent.tsx                           | TypeScript React   |         33 |         35 |         12 |         80 |
| /home/lewis/winterwell/my-loop/src/js/components/Footer.jsx                                        | JavaScript React   |         99 |          4 |         13 |        116 |
| /home/lewis/winterwell/my-loop/src/js/components/Image.jsx                                         | JavaScript React   |         41 |         29 |          8 |         78 |
| /home/lewis/winterwell/my-loop/src/js/components/LandingSection.tsx                                | TypeScript React   |         60 |          5 |          9 |         74 |
| /home/lewis/winterwell/my-loop/src/js/components/MainDiv.jsx                                       | JavaScript React   |        124 |         33 |         19 |        176 |
| /home/lewis/winterwell/my-loop/src/js/components/MyGLAboutPage.jsx                                 | JavaScript React   |         10 |          0 |          4 |         14 |
| /home/lewis/winterwell/my-loop/src/js/components/MyGLSocialShare.jsx                               | JavaScript React   |         33 |          5 |          9 |         47 |
| /home/lewis/winterwell/my-loop/src/js/components/MyLoginWidgetGuts.jsx                             | JavaScript React   |         32 |          6 |          2 |         40 |
| /home/lewis/winterwell/my-loop/src/js/components/NewTabCustomise.jsx                               | JavaScript React   |         25 |          1 |          2 |         28 |
| /home/lewis/winterwell/my-loop/src/js/components/NewTabLayouts.jsx                                 | JavaScript React   |        144 |         16 |         26 |        186 |
| /home/lewis/winterwell/my-loop/src/js/components/NewTabMainDiv.jsx                                 | JavaScript React   |        568 |        148 |         62 |        778 |
| /home/lewis/winterwell/my-loop/src/js/components/NewTabOptions.jsx                                 | JavaScript React   |          7 |          4 |          3 |         14 |
| /home/lewis/winterwell/my-loop/src/js/components/NewTabThemes.jsx                                  | JavaScript React   |          0 |          0 |          3 |          3 |
| /home/lewis/winterwell/my-loop/src/js/components/NewtabLoginWidget.jsx                             | JavaScript React   |        156 |         14 |         29 |        199 |
| /home/lewis/winterwell/my-loop/src/js/components/NewtabTutorialCard.jsx                            | JavaScript React   |        196 |         35 |         29 |        260 |
| /home/lewis/winterwell/my-loop/src/js/components/Paginator.jsx                                     | JavaScript React   |         92 |         19 |         12 |        123 |
| /home/lewis/winterwell/my-loop/src/js/components/ShapedCard.jsx                                    | JavaScript React   |         46 |         14 |          5 |         65 |
| /home/lewis/winterwell/my-loop/src/js/components/ShareButton.jsx                                   | JavaScript React   |         29 |         31 |         11 |         71 |
| /home/lewis/winterwell/my-loop/src/js/components/SimplifiedCharityControls.jsx                     | JavaScript React   |         99 |         12 |          7 |        118 |
| /home/lewis/winterwell/my-loop/src/js/components/SocialLinksWidget.jsx                             | JavaScript React   |         62 |         20 |         12 |         94 |
| /home/lewis/winterwell/my-loop/src/js/components/T4GSignUp.jsx                                     | JavaScript React   |        189 |         13 |         26 |        228 |
| /home/lewis/winterwell/my-loop/src/js/components/Ticker.jsx                                        | JavaScript React   |         54 |         27 |         12 |         93 |
| /home/lewis/winterwell/my-loop/src/js/components/TickerTotal.jsx                                   | JavaScript React   |         12 |          4 |          5 |         21 |
| /home/lewis/winterwell/my-loop/src/js/components/campaignpage/AdvertsCatalogue.jsx                 | JavaScript React   |        236 |         23 |         28 |        287 |
| /home/lewis/winterwell/my-loop/src/js/components/campaignpage/CampaignModalTFG.jsx                 | JavaScript React   |         48 |          0 |          4 |         52 |
| /home/lewis/winterwell/my-loop/src/js/components/campaignpage/CampaignPage.jsx                     | JavaScript React   |        380 |         73 |         52 |        505 |
| /home/lewis/winterwell/my-loop/src/js/components/campaignpage/CampaignSplashCard.jsx               | JavaScript React   |        111 |         11 |         14 |        136 |
| /home/lewis/winterwell/my-loop/src/js/components/campaignpage/CharitiesSection.jsx                 | JavaScript React   |        152 |         92 |         31 |        275 |
| /home/lewis/winterwell/my-loop/src/js/components/campaignpage/DevLink.jsx                          | JavaScript React   |         16 |          0 |          3 |         19 |
| /home/lewis/winterwell/my-loop/src/js/components/campaignpage/HowDoesItWork.jsx                    | JavaScript React   |         47 |          5 |          4 |         56 |
| /home/lewis/winterwell/my-loop/src/js/components/campaignpage/PublishersCard.jsx                   | JavaScript React   |         29 |         14 |          7 |         50 |
| /home/lewis/winterwell/my-loop/src/js/components/campaignpage/TestimonialPlayer.jsx                | JavaScript React   |         41 |          0 |         12 |         53 |
| /home/lewis/winterwell/my-loop/src/js/components/campaignpage/WhiteCircle.jsx                      | JavaScript React   |         17 |          5 |          5 |         27 |
| /home/lewis/winterwell/my-loop/src/js/components/cards/AdvertCard.jsx                              | JavaScript React   |         26 |          7 |          7 |         40 |
| /home/lewis/winterwell/my-loop/src/js/components/cards/DonationCard.jsx                            | JavaScript React   |        101 |         25 |         24 |        150 |
| /home/lewis/winterwell/my-loop/src/js/components/cards/LinkedProfilesCard.jsx                      | JavaScript React   |         62 |          9 |          8 |         79 |
| /home/lewis/winterwell/my-loop/src/js/components/cards/OnboardingCardMini.jsx                      | JavaScript React   |         42 |          2 |          3 |         47 |
| /home/lewis/winterwell/my-loop/src/js/components/cards/RecentCampaignsCard.jsx                     | JavaScript React   |        124 |         65 |         16 |        205 |
| /home/lewis/winterwell/my-loop/src/js/components/cards/SignUpConnectCard.jsx                       | JavaScript React   |         49 |         14 |         13 |         76 |
| /home/lewis/winterwell/my-loop/src/js/components/cards/StoryCard.jsx                               | JavaScript React   |         13 |          2 |          3 |         18 |
| /home/lewis/winterwell/my-loop/src/js/components/cards/SubscriptionBox.jsx                         | JavaScript React   |         73 |          9 |         11 |         93 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/GLCards.jsx                                | JavaScript React   |        117 |         53 |         27 |        197 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactAccountButton.jsx                    | JavaScript React   |         99 |          8 |         22 |        129 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactBrandFilter.jsx                      | JavaScript React   |        163 |         57 |         34 |        254 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactDateFilter.jsx                       | JavaScript React   |         54 |          5 |         10 |         69 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactFilterOptions.jsx                    | JavaScript React   |         29 |          8 |         12 |         49 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactLoadingScreen.jsx                    | JavaScript React   |         66 |         12 |         13 |         91 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactLogin.jsx                            | JavaScript React   |         91 |          3 |         11 |        105 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactNavBars.jsx                          | JavaScript React   |         98 |         16 |         11 |        125 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactOverviewAdsCatalogue.jsx             | JavaScript React   |         26 |          0 |          3 |         29 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactOverviewPage.jsx                     | JavaScript React   |        569 |         55 |        100 |        724 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactStatsPage.jsx                        | JavaScript React   |         33 |          0 |          5 |         38 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/ImpactStoryPage.jsx                        | JavaScript React   |         81 |         10 |         15 |        106 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/TestValues.js                              | JavaScript         |        891 |          0 |          8 |        899 |
| /home/lewis/winterwell/my-loop/src/js/components/impact/impactdata.js                              | JavaScript         |         75 |         21 |          9 |        105 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataBadge.jsx                            | JavaScript React   |         43 |          8 |          5 |         56 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataCommonComponents.jsx                 | JavaScript React   |        186 |         60 |         40 |        286 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataDashboardHomeTab.jsx                 | JavaScript React   |        244 |         49 |         26 |        319 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataDashboardPage.jsx                    | JavaScript React   |        120 |         74 |         23 |        217 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataDashboardProfileTab.jsx              | JavaScript React   |        218 |         13 |         36 |        267 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataDetails.jsx                          | JavaScript React   |         48 |          0 |          7 |         55 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataGetStarted.jsx                       | JavaScript React   |         26 |          0 |          6 |         32 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataInterests.jsx                        | JavaScript React   |         46 |         11 |          4 |         61 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataProductPage.jsx                      | JavaScript React   |        284 |          0 |         36 |        320 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataProfileCreated.jsx                   | JavaScript React   |         76 |          0 |          9 |         85 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataSelectCharity.jsx                    | JavaScript React   |         46 |          3 |         11 |         60 |
| /home/lewis/winterwell/my-loop/src/js/components/mydata/MyDataSignUp.jsx                           | JavaScript React   |        129 |         17 |         23 |        169 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/AccountPage.jsx                             | JavaScript React   |        114 |         14 |         13 |        141 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/AccountSettings.jsx                         | JavaScript React   |         80 |         17 |          7 |        104 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/AllowlistUs.jsx                             | JavaScript React   |         77 |          0 |          9 |         86 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/BlogContent.jsx                             | JavaScript React   |         55 |          7 |          6 |         68 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/BlogPage.jsx                                | JavaScript React   |        129 |         20 |         12 |        161 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/CharityLandingPage.jsx                      | JavaScript React   |        175 |          8 |         17 |        200 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/CommonComponents.jsx                        | JavaScript React   |        670 |         89 |         60 |        819 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/ForBusinessPage.jsx                         | JavaScript React   |         14 |          0 |          4 |         18 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/ForCharityPage.jsx                          | JavaScript React   |         14 |          0 |          4 |         18 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/GenerateGreenDemoEvents.jsx                 | JavaScript React   |        314 |         88 |         57 |        459 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/GetInvolvedPage.jsx                         | JavaScript React   |        244 |          6 |         17 |        267 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/GreenDashboard.jsx                          | JavaScript React   |         23 |          2 |          7 |         32 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/GreenLanding.jsx                            | JavaScript React   |        166 |         22 |         19 |        207 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/HomePage.jsx                                | JavaScript React   |        315 |         21 |         28 |        364 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/LogoutPage.jsx                              | JavaScript React   |         14 |          3 |          5 |         22 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/MyAdCampaignsPage.jsx                       | JavaScript React   |         22 |          0 |          3 |         25 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/MyCharitiesPage.jsx                         | JavaScript React   |        131 |         14 |         10 |        155 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/NewtabCharityLogin.jsx                      | JavaScript React   |        105 |         21 |         20 |        146 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/OurImpactPage.jsx                           | JavaScript React   |        174 |         10 |         18 |        202 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/OurStoryPage.jsx                            | JavaScript React   |        130 |         13 |          8 |        151 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/ProductsOverviewPage.jsx                    | JavaScript React   |         13 |          0 |          4 |         17 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/SafariPage.jsx                              | JavaScript React   |        140 |          4 |         16 |        160 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/TabsForGoodLandingPage.jsx                  | JavaScript React   |         66 |          5 |          9 |         80 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/TabsForGoodProductPage.jsx                  | JavaScript React   |        368 |          1 |         40 |        409 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/TabsForGoodSettings.jsx                     | JavaScript React   |        245 |         36 |         35 |        316 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/Welcome.jsx                                 | JavaScript React   |         21 |          0 |          4 |         25 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/BreakdownCard.jsx                 | JavaScript React   |        381 |         53 |         58 |        492 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/CompareCard.jsx                   | JavaScript React   |        179 |         37 |         36 |        252 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/GreenDashboardFilters.jsx         | JavaScript React   |        264 |         60 |         46 |        370 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/GreenMap.jsx                      | JavaScript React   |        171 |          8 |         19 |        198 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/GreenMetrics.jsx                  | JavaScript React   |        252 |         31 |         41 |        324 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/GreenNavBar.jsx                   | JavaScript React   |         89 |         27 |         12 |        128 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/GreenOptimisation.jsx             | JavaScript React   |          9 |          0 |          3 |         12 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/GreenProfile.jsx                  | JavaScript React   |          9 |          0 |          3 |         12 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/GreenTable.jsx                    | JavaScript React   |         56 |          4 |         16 |         76 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/JourneyCard.jsx                   | JavaScript React   |        167 |         31 |         24 |        222 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/MapCard.jsx                       | JavaScript React   |        245 |         68 |         50 |        363 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/TimeOfDayCard.jsx                 | JavaScript React   |         88 |          3 |         14 |        105 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/TimeSeriesCard.jsx                | JavaScript React   |        208 |         28 |         30 |        266 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/carboncalc.js                     | JavaScript         |          0 |        272 |         33 |        305 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/dashutils.js                      | JavaScript         |        266 |         74 |         59 |        399 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/emissionscalc.js                  | JavaScript         |        199 |         86 |         30 |        315 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/emissionscalcTs.ts                | TypeScript         |         88 |         15 |         10 |        113 |
| /home/lewis/winterwell/my-loop/src/js/components/pages/greendash/maputils.js                       | JavaScript         |        256 |          1 |          1 |        258 |
| /home/lewis/winterwell/my-loop/src/js/components/svg.jsx                                           | JavaScript React   |         31 |         24 |          8 |         63 |
| /home/lewis/winterwell/my-loop/src/js/data/Budget.js                                               | JavaScript         |         19 |          3 |          8 |         30 |
| /home/lewis/winterwell/my-loop/src/js/data/Publisher.js                                            | JavaScript         |          5 |          1 |          2 |          8 |
| /home/lewis/winterwell/my-loop/src/js/data/PublisherList.js                                        | JavaScript         |         39 |          4 |          2 |         45 |
| /home/lewis/winterwell/my-loop/src/js/data/WebSite.js                                              | JavaScript         |          6 |          3 |          8 |         17 |
| /home/lewis/winterwell/my-loop/src/js/newtab.jsx                                                   | JavaScript React   |         12 |          3 |          5 |         20 |
| /home/lewis/winterwell/my-loop/src/js/plumbing/ActionMan.js                                        | JavaScript         |          2 |         14 |          3 |         19 |
| /home/lewis/winterwell/my-loop/src/js/plumbing/ServerIO.js                                         | JavaScript         |         59 |         53 |         29 |        141 |
| /home/lewis/winterwell/my-loop/src/js/static.js                                                    | JavaScript         |         22 |          4 |          4 |         30 |
| /home/lewis/winterwell/my-loop/src/js/utils/campaignPageUtils.js                                   | JavaScript         |          1 |          0 |          3 |          4 |
| /home/lewis/winterwell/my-loop/src/js/utils/generateDemoConstants.js                               | JavaScript         |        323 |          4 |          5 |        332 |
| /home/lewis/winterwell/my-loop/src/python/__tests__/ShareLoginTest.py                              | Python             |         37 |         11 |         16 |         64 |
| /home/lewis/winterwell/my-loop/src/style/AccountPage.less                                          | Less               |        114 |         30 |         16 |        160 |
| /home/lewis/winterwell/my-loop/src/style/AllowlistUs.less                                          | Less               |         24 |          1 |          4 |         29 |
| /home/lewis/winterwell/my-loop/src/style/Blog.less                                                 | Less               |         55 |          0 |          7 |         62 |
| /home/lewis/winterwell/my-loop/src/style/CampaignPage.less                                         | Less               |        745 |         47 |        163 |        955 |
| /home/lewis/winterwell/my-loop/src/style/CharityPicker.less                                        | Less               |        145 |          7 |         31 |        183 |
| /home/lewis/winterwell/my-loop/src/style/CharitySection.less                                       | Less               |          0 |          0 |          1 |          1 |
| /home/lewis/winterwell/my-loop/src/style/DateRangeWidget.less                                      | Less               |        110 |          1 |          9 |        120 |
| /home/lewis/winterwell/my-loop/src/style/DevLink.less                                              | Less               |         18 |          1 |          0 |         19 |
| /home/lewis/winterwell/my-loop/src/style/GLCards.less                                              | Less               |        139 |          9 |         25 |        173 |
| /home/lewis/winterwell/my-loop/src/style/GetInvolvedPage.less                                      | Less               |         15 |          1 |          2 |         18 |
| /home/lewis/winterwell/my-loop/src/style/GreenDashboard.less                                       | Less               |        466 |         24 |         42 |        532 |
| /home/lewis/winterwell/my-loop/src/style/GreenMetrics.less                                         | Less               |        352 |         28 |         43 |        423 |
| /home/lewis/winterwell/my-loop/src/style/HomePage.less                                             | Less               |        430 |         22 |         63 |        515 |
| /home/lewis/winterwell/my-loop/src/style/ImpactOverview.less                                       | Less               |        322 |          3 |         55 |        380 |
| /home/lewis/winterwell/my-loop/src/style/LandingSection.less                                       | Less               |         79 |         20 |         11 |        110 |
| /home/lewis/winterwell/my-loop/src/style/MyAdCampaignsPage.less                                    | Less               |         22 |          0 |          5 |         27 |
| /home/lewis/winterwell/my-loop/src/style/MyCharitiesPage.less                                      | Less               |          8 |         18 |          3 |         29 |
| /home/lewis/winterwell/my-loop/src/style/MyDashboard.less                                          | Less               |        148 |          4 |         10 |        162 |
| /home/lewis/winterwell/my-loop/src/style/MyData.less                                               | Less               |        457 |         31 |         68 |        556 |
| /home/lewis/winterwell/my-loop/src/style/MyDataProductPage.less                                    | Less               |        360 |         20 |         25 |        405 |
| /home/lewis/winterwell/my-loop/src/style/MyLoginWidget.less                                        | Less               |        218 |          3 |         35 |        256 |
| /home/lewis/winterwell/my-loop/src/style/MyPage.less                                               | Less               |         49 |          1 |          3 |         53 |
| /home/lewis/winterwell/my-loop/src/style/NewTab.less                                               | Less               |        408 |         12 |         44 |        464 |
| /home/lewis/winterwell/my-loop/src/style/NewTabLayouts.less                                        | Less               |         32 |          0 |          6 |         38 |
| /home/lewis/winterwell/my-loop/src/style/OurImpactPage.less                                        | Less               |         53 |          0 |          7 |         60 |
| /home/lewis/winterwell/my-loop/src/style/OurStory.less                                             | Less               |         23 |          9 |          2 |         34 |
| /home/lewis/winterwell/my-loop/src/style/SafariPage.less                                           | Less               |         88 |          1 |         17 |        106 |
| /home/lewis/winterwell/my-loop/src/style/ShareButton.less                                          | Less               |         35 |          0 |          1 |         36 |
| /home/lewis/winterwell/my-loop/src/style/SideNavBar.less                                           | Less               |         86 |          2 |          7 |         95 |
| /home/lewis/winterwell/my-loop/src/style/TabsForGood.less                                          | Less               |          7 |          1 |          0 |          8 |
| /home/lewis/winterwell/my-loop/src/style/TabsForGoodSettings.less                                  | Less               |         21 |          1 |          4 |         26 |
| /home/lewis/winterwell/my-loop/src/style/WelcomePage.less                                          | Less               |         59 |          0 |         18 |         77 |
| /home/lewis/winterwell/my-loop/src/style/WhiteCircle.less                                          | Less               |         31 |          0 |          1 |         32 |
| /home/lewis/winterwell/my-loop/src/style/buttons.less                                              | Less               |        144 |         34 |         26 |        204 |
| /home/lewis/winterwell/my-loop/src/style/fonts.less                                                | Less               |         32 |          5 |          9 |         46 |
| /home/lewis/winterwell/my-loop/src/style/footer.less                                               | Less               |        112 |         17 |         24 |        153 |
| /home/lewis/winterwell/my-loop/src/style/green-map-card.less                                       | Less               |         11 |          0 |          0 |         11 |
| /home/lewis/winterwell/my-loop/src/style/greendash-breakdown-card.less                             | Less               |         20 |          2 |          1 |         23 |
| /home/lewis/winterwell/my-loop/src/style/impact_overview/ImpactLoadingScreen.less                  | Less               |         96 |          0 |         18 |        114 |
| /home/lewis/winterwell/my-loop/src/style/impact_overview/ImpactLogin.less                          | Less               |         57 |          1 |         10 |         68 |
| /home/lewis/winterwell/my-loop/src/style/impact_overview/ImpactOverview-Navbar.less                | Less               |        132 |         13 |         33 |        178 |
| /home/lewis/winterwell/my-loop/src/style/impact_overview/ImpactOverview-Page.less                  | Less               |          5 |          1 |          0 |          6 |
| /home/lewis/winterwell/my-loop/src/style/impact_overview/ImpactOverview-filtersAndAccount.less     | Less               |        251 |         21 |         55 |        327 |
| /home/lewis/winterwell/my-loop/src/style/impacthub.less                                            | Less               |          4 |          0 |          2 |          6 |
| /home/lewis/winterwell/my-loop/src/style/landingpage.less                                          | Less               |         88 |          6 |         14 |        108 |
| /home/lewis/winterwell/my-loop/src/style/main.less                                                 | Less               |        214 |         35 |         38 |        287 |
| /home/lewis/winterwell/my-loop/src/style/navbar.less                                               | Less               |        225 |         44 |         55 |        324 |
